name,reason
"Community Health Center, M N Kote",outside Bengaluru
"Community Health Center, Amruthur",outside Bengaluru
"Community Health Center, Baindoor",outside Bengaluru
"Community Health Center, Brahmavara",outside Bengaluru
"Community Health Center, Kota",outside Bengaluru
"Community Health Center, Shiruva",outside Bengaluru
"Community Health Center, Hebri",outside Bengaluru
"Community Health Center, Nitte",outside Bengaluru
"Community Health Center, Saidapur",outside Bengaluru
"Community Health Center, Arekera",outside Bengaluru
"Community Health Center, Gurumatkal",outside Bengaluru
"Community Health Center, Wadagera",outside Bengaluru
"Community Health Center, Dornahalli",outside Bengaluru
"Community Health Center, Hunasangi",outside Bengaluru
"Community Health Center, Chandrappa Circle",outside Bengaluru
"Community Health Center, Kaggalipura",outside Bengaluru
"Community Health Center, Ullal UCHC",outside Bengaluru
"Community Health Center, Mat Hosp V V Puram 24X7 UCHC Mat Hosp V V Puram 24X7 UCHC",outside Bengaluru
"Community Health Center, Belwadi",outside Bengaluru
"Community Health Center, Naganur",outside Bengaluru
"Community Health Center, Old Bagalkote",outside Bengaluru
"Ashraya Hospital, Bagalakote",outside Bengaluru
"Vijaya Ortho and Trauma Centre, Belagavi",outside Bengaluru
"Hemavathi Hospital, Hassan",outside Bengaluru
"Shree Chamarajendra Hospital / HIMS, Hassan",outside Bengaluru
"Vaatsalya Hospital, Hassan",outside Bengaluru
"Sri Nandi Hospital, Ranebennur",outside Bengaluru
"Sri Laxmi Surgical Trauma Ortho and Multispecility Hospital, Ranebennur",outside Bengaluru
"Sri Sai Speciality Hospital, Ranebennur",outside Bengaluru
"Nano Hospitals Private Limited, Hyderabad",outside Bengaluru
"Prime Hospitals, Hyderabad",outside Bengaluru
"Malla Reddy Narayana Multispeciality Hospital, Hyderabad",outside Bengaluru
"Bibi Hospitals Pvt Ltd, Hyderabad",outside Bengaluru
"KLES Dr Prabhakar Kore Hospital and MRC, Belagavi",outside Bengaluru
"Citizens Hospitals, Hyderabad",outside Bengaluru
"Care Hospital, Hyderabad",outside Bengaluru
"Sunshine Heart Institute, Hyderabad",outside Bengaluru
"Panacea Meridian Hospitals, Hyderabad",outside Bengaluru
"R L Jalappa Hopital and Research Center, Kolara",outside Bengaluru
"R L Jalappa Narayana Hrudayalaya Heart Centre, Kolara",outside Bengaluru
"Swastik Hospital, Kolhapur",outside Bengaluru
"Apple Saraswati Multispecity Hospital, Kolhapur",outside Bengaluru
"Kolhapur Cancer Centre, Kolhaur",outside Bengaluru
"PIOS Hospital, Kolhapur",outside Bengaluru
"KLES Societys Belgaum Cancer Hospital, Belagavi",outside Bengaluru
"Siddhagiri Hospital & Research Centre, Kolhapur",outside Bengaluru
"Western India Institute Of Neurosciences, Kolhapur",outside Bengaluru
"City Hospital, Kolhapur",outside Bengaluru
"Viswabharathi Cancer Hospital, Kurnol",outside Bengaluru
"Lifecare Hospital and Research Centre, Latur",outside Bengaluru
"Sri Adichunchanagiri Hospital and Research Center, Mandya",outside Bengaluru
"Mandya Institute Of Medical Sciences, Mandya",outside Bengaluru
"Mahatma Gandhi Cancer Hospital, Miraj",outside Bengaluru
"Wanless Hospital Miraj Medical Center, Miraj",outside Bengaluru
"St Josephs Hospital, Mysuru",outside Bengaluru
"Salagare Childrens and Eye Hospital, Chikkodi",outside Bengaluru
"Bhanavi Hospital, Mysuru",outside Bengaluru
"CSI Holdsworth Memorial Hospital, Mysuru",outside Bengaluru
"Apollo BGS Hospital, Mysuru",outside Bengaluru
"Bharath Hospital Institute Of Oncology, Mysuru",outside Bengaluru
"Cauvery Hospital, Mysuru",outside Bengaluru
"Jagadguru Sri Shivarathreeshwara Hospital, Mysuru",outside Bengaluru
"Narayana Hrudayalaya Surgical Hospital Pvt Ltd, Mysuru",outside Bengaluru
"Sri Jayadeva Institute of Cardiovascuar Research, Mysore",outside Bengaluru
"Vikram Jeshta, Mysuru",outside Bengaluru
"Krishnarajendra Hospital, Mysore",outside Bengaluru
"BHS Lakeview Hospital, Belagavi",outside Bengaluru
"Sigma Hospital, Mysuru",outside Bengaluru
"Shree Mahadeshwara Nursing Home, Mysuru",outside Bengaluru
"Clearmedi Radiant Hospital, Mysuru",outside Bengaluru
"Raichur Institute Of Medical Sciences, Raichur",outside Bengaluru
"Punya Hospital, Ramanagara",outside Bengaluru
"Shri Siddhivinayak Ganapati Cancer Hospital, Miraj",outside Bengaluru
"Paediatric Surgery Centre and PG Institute, Sangli",outside Bengaluru
"BVDU Medical College and Hospital, Sangli",outside Bengaluru
"Aaditya Hospital, Sangli",outside Bengaluru
"Kullolli Hospital, Sangli",outside Bengaluru
"Shri J G Co-Operative Hospital Society Ltd, Belagavi",outside Bengaluru
"Maax Super Speciality Hospital, Shivamogga",outside Bengaluru
"Mcgann Teaching District Hospital, Shivamogga",outside Bengaluru
"Subbaiah Medical College Hospital Research Centre, Shivamogga",outside Bengaluru
"Malnad Hospital and Institute Of Oncology, Shivamogga",outside Bengaluru
"Nanjappa Hospital, Shivamogga",outside Bengaluru
"Nanjappa Life Care, Shivamogga",outside Bengaluru
"Sahyadri Narayana Hrudayalaya, Shivamogga",outside Bengaluru
"Ashwini Rural Medical College Hospital and RC, Solapur",outside Bengaluru
"Gangamai Hospital, Solapur",outside Bengaluru
"Shri Siddheshwar Cancer Hospital and Research Centre, Solapur",outside Bengaluru
"Belgaum Childrens Hospital Pvt Ltd, Belagavi",outside Bengaluru
"Dr Raghoji Kidney Hospital and Research Center Pvt Ltd, Solapur",outside Bengaluru
"Balawant Institute Of Neurosurgery Intensive Trauma, Solapur",outside Bengaluru
"Yashodhara Super Speciality Hospital Pvt Ltd, Solapur",outside Bengaluru
"Ashwini Sahakari Rugnalaya ANI Sansodhan Kendra, Solapur",outside Bengaluru
"Shri Markandey Solapur Sahakari Rugnalaya, Solapur",outside Bengaluru
"S P Institute Of Neuro Sciences, Solapur",outside Bengaluru
"Mudra Hospital, Tiptur",outside Bengaluru
"Shridevi Inst Of Medicl Sciences and Research Hospital, Tumakuru",outside Bengaluru
"Tumkur District Hospital, Tumakuru",outside Bengaluru
"Tumkur Speciality Hospital, Tumakuru",outside Bengaluru
"BIMS Hospital, Belagavi",outside Bengaluru
"Kasturba Hospital, Udupi",outside Bengaluru
"Adarsha Hospital, Udupi",outside Bengaluru
