ward_no,ward_label,minutes,minutes_direct_only,minutes_800m,minutes_frequent,minutes_general,straight_line_km,easting,northing
5,5-Jakkuru,11.650743492515932,11.650743492515932,11.650743492515932,11.650743492515932,11.650743492515932,0.9320594794012745,785071.625,1448521.0
5,5-Jakkuru,9.715062989583707,9.715062989583707,9.715062989583707,9.715062989583707,9.715062989583707,0.7772050391666966,785321.625,1448521.0
5,5-Jakkuru,8.517999991474285,8.517999991474285,8.517999991474285,8.517999991474285,8.517999991474285,0.6814399993179429,785571.625,1448521.0
5,5-Jakkuru,8.382210258513723,8.382210258513723,8.382210258513723,8.382210258513723,8.382210258513723,0.6705768206810978,785821.625,1448521.0
5,5-Jakkuru,9.354027142418898,9.354027142418898,9.354027142418898,9.354027142418898,9.354027142418898,0.7483221713935119,786071.625,1448521.0
5,5-Jakkuru,11.14744135415326,11.14744135415326,11.14744135415326,11.14744135415326,11.14744135415326,0.8917953083322608,786321.625,1448521.0
5,5-Jakkuru,13.437422509821705,13.437422509821705,13.437422509821705,13.437422509821705,13.437422509821705,1.0749938007857363,786571.625,1448521.0
3,3-Atturu,44.971046670140055,44.971046670140055,44.971046670140055,,44.971046670140055,4.70381921193931,775571.625,1448771.0
3,3-Atturu,45.99581993211595,45.99581993211595,45.99581993211595,,45.99581993211595,4.926021308159873,775821.625,1448771.0
3,3-Atturu,46.13465342518023,46.13465342518023,46.13465342518023,,46.13465342518023,5.150772435109211,776071.625,1448771.0
3,3-Atturu,,,47.0352196159273,,,5.251485833685928,776321.625,1448771.0
3,3-Atturu,63.37785233312412,64.12270670987553,37.14106193741202,,63.37785233312412,5.004770115718801,776571.625,1448771.0
3,3-Atturu,34.588075348961645,34.588075348961645,34.588075348961645,34.588075348961645,34.588075348961645,4.75839724707595,776821.625,1448771.0
3,3-Atturu,32.25186610037966,32.25186610037966,32.25186610037966,32.25186610037966,32.25186610037966,4.512423385584288,777071.625,1448771.0
3,3-Atturu,29.128483339261074,29.128483339261074,29.128483339261074,29.128483339261074,29.128483339261074,4.266917536179481,777321.625,1448771.0
3,3-Atturu,27.014913286728355,27.014913286728355,27.014913286728355,27.014913286728355,27.014913286728355,4.021965403921814,777571.625,1448771.0
